node_num,xml_level,xml_index,parent_location,parent_node_num,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,new_attributes,class
1,0,0,,0.0,,,ignored,,,0,,,
2,1,0,"(0, '0')",1.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",FrameLayout
3,2,0,"(1, '0')",2.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",valid,"[0,0][1080,1794]","[0,0][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",LinearLayout
4,3,0,"(2, '0')",3.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
5,4,0,"(3, '0')",4.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/action_bar_root', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",LinearLayout
6,5,0,"(4, '0')",5.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",FrameLayout
7,6,0,"(5, '0')",6.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",ViewGroup
8,7,0,"(6, '0')",7.0,Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",valid,"[0,63][1080,210]","[0,63][1080,210]",0,NC,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",LinearLayout
9,8,0,"(7, '0')",8.0,Parent,"{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/toolbar', 'class': 'android.view.ViewGroup', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",valid,"[0,63][1080,210]","[0,63][1080,210]",0,NC,"{'index': '0', 'text': '', 'resource-id': 'ch.rmy.android.http_shortcuts:id/toolbar', 'class': 'android.view.ViewGroup', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",ViewGroup
10,9,0,"(8, '0')",9.0,Leaf,"{'index': '0', 'text': 'HTTP Shortcuts', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,101][436,172]'}",valid,"[42,101][436,172]","[42,101][436,172]",0,NC,"{'index': '0', 'text': 'HTTP Shortcuts', 'resource-id': '', 'class': 'android.widget.TextView', 'package': 'ch.rmy.android.http_shortcuts', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[42,101][436,172]'}",TextView
